Laptop Name,Release Date,Order No.,Model No.,ID,Video Memory,Storage,Optical Drive,URL,CPU Cores,CPU Name,CPU Frequency,Memory Capacity,RAM Type,RAM Speed,GPU,GPU Type,GPU Standard VRAM,GPU Max VRAM,Display Resolution
"MacBook Pro 15"" ""Core 2 Duo"" 2.4 (08)","February 26, 2008",MB133LL/A,A1260,"MacBookPro4,1",256 MB,200 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.4-15-early-2008-penryn-specs.html,2,Core 2 Duo (T8300) ,2.4 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,GeForce 8600M GT,GDDR3 SDRAM,256 MB,256 MB,1440x900
"MacBook Pro 15"" ""Core 2 Duo"" 2.2 (SR)","June 5, 2007",MA895LL,A1226,"MacBookPro3,1",128 MB,120 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.2-15-santa-rosa-specs.html,2,Core 2 Duo (T7500) ,2.2 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,GeForce 8600M GT,GDDR3 SDRAM,128 MB,128 MB,1440x900
"MacBook Pro 15"" ""Core 2 Duo"" 2.4 (SR)","June 5, 2007",MA896LL,A1226,"MacBookPro3,1",256 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.4-15-santa-rosa-specs.html,2,Core 2 Duo (T7700) ,2.4 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,GeForce 8600M GT,GDDR3 SDRAM,256 MB,256 MB,1440x900
"MacBook Pro 17"" ""Core 2 Duo"" 2.33","October 24, 2006",MA611LL/A,A1212,"MacBookPro2,1",256 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.33-17-specs.html,2,Core 2 Duo (T7600) ,2.33 GHz ,"2 GB,4 GB*",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,256 MB,256 MB,1680x1050
"MacBook Pro 15"" ""Core Duo"" 1.67","January 10, 2006*",MA090LL,A1150,"MacBookPro1,1",128 MB,80 GB HDD,"4X SL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook_pro_1.67.html,2,Core Duo (L2400) ,1.67 GHz ,"512 MB,2 GB",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,128 MB,128 MB,1440x900
"MacBook Pro 17"" ""Core 2 Duo"" 2.4 (SR)","June 5, 2007",MA897LL/A,A1229,"MacBookPro3,1",256 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.4-17-santa-rosa-specs.html,2,Core 2 Duo (T7700) ,2.4 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,GeForce 8600M GT,GDDR3 SDRAM,256 MB,256 MB,1680x1050*
"MacBook Pro 17"" ""Core 2 Duo"" 2.6 (SR)","November 1, 2007",BTO/CTO,A1229,"MacBookPro3,1",256 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.6-17-santa-rosa-specs.html,2,Core 2 Duo (T7800) ,2.6 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,GeForce 8600M GT,GDDR3 SDRAM,256 MB,256 MB,1680x1050*
"MacBook Pro 15"" ""Core 2 Duo"" 2.6 (SR)","November 1, 2007",BTO/CTO,A1226,"MacBookPro3,1",256 MB,160 GB HDD,"8X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.6-15-santa-rosa-specs.html,2,Core 2 Duo (T7800) ,2.6 GHz ,"2 GB,6 GB*",PC2-5300 DDR2,667 MHz,GeForce 8600M GT,GDDR3 SDRAM,256 MB,256 MB,1440x900
"MacBook Pro 15"" ""Core Duo"" 2.16","February 14, 2006*",MA601LL,A1150,"MacBookPro1,1",256 MB,100 GB HDD,"4X SL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook_pro_2.16.html,2,Core Duo (T2600) ,2.16 GHz ,"1 GB,2 GB",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,256 MB,256 MB,1440x900
"MacBook Pro 15"" ""Core 2 Duo"" 2.16","October 24, 2006",MA609LL,A1211,"MacBookPro2,2",128 MB,120 GB HDD,"6X DL ""SuperDrive""",https://everymac.com/systems/apple/macbook_pro/specs/macbook-pro-core-2-duo-2.16-15-specs.html,2,Core 2 Duo (T7400) ,2.16 GHz ,"1 GB,4 GB*",PC2-5300 DDR2,667 MHz,Radeon X1600,GDDR3 SDRAM,128 MB,128 MB,1440x900
